customer_id,company_name,group_key_promoters,activity_company,address_company,customer_creation_date,meeting_date,amount(In Cr.)
H-100003,NSL Textiles,PRABHAKARA  M,TEXTILES,"4 th floor, NSL Icon, Road no 12, Banjara Hills- 500034",2016/06/13 17:08:26.900,2016/10/31,0
H-100021,Ra Chem Pharma Limited,Laxmi Ra holdings and investments Pvt Ltd,PHARMACEUTICALS,"Plot No: 26 & 27, Techno Industrial Estate, Balanagar,Hyderabad",2016/06/13 17:08:26.957,2016/08/16,116.1
H-100027,Amar Raja Batteries,Ramchandra Galla,BATTERY MANUFACTURING,"Terminal A 1-18/1/AMR/NR NANAKRAMGUDA, Gachibowli",2016/06/13 17:08:27.003,2016/05/05,138.75
H-100028,Jai Raj ispat,P Srinivas Kumar,STEEL MANUFACRING,"8 Phase III IDA Jeedimetla,City: Hyderabad,Dist: Hyderabad,",2016/06/13 17:08:27.010,2016/05/25,22.16
H-100034,Virchow Petrochemicals,Prasanth Nandigala,PETROCHEMICALS,"Plot No. 10, SV Co-op Industrial Estate, IDA Jeedimetla,",2016/06/13 17:08:27.053,2016/07/13,20.82
H-100036,MYLAN LABORATORIES LTD. (FORMERLY MATRIX LABORATORIES LTD),B Haribabu,Pharmaceuticals,"Plot No 564/A/22, Road No 92, Jubilee Hills, Hyderabad, Telangana 500034",2016/06/13 16:49:10.950,2016/10/19,0
H-100038,L AND T METRO RAIL,L and T,Infrastructure,"Hyderabad Metro Train Depot, Nagole, IDA Uppal, Uppal, Hyderabad, Telangana 500039",2016/06/13 16:49:10.960,2016/07/15,0
H-100039,AUROBINDO PHARMA LTD,K Govindarajan Narayanan,Pharmaceuticals,"Water Mark Building, Plot No. 11, Survey no.9,, Kondapur, Hitech City,, Hyderabad, Telangana 500084",2016/06/13 16:49:10.967,2016/10/27,0
H-100041,KSK MAHANADI POWER CO. LTD.,Kishore Sethuraman,Infrastructure,"8-2-293/82/A/476, No 22 Rd, Jawahar Colony, Jubilee Hills, Hyderabad, Telangana 500033",2016/06/13 16:49:10.980,2016/08/02,0
H-100042,NAVA BHARAT VENTURES LTD,Ashok Devineni,Manufacturing,"6-3-1109/1, Nava Bharat Chamber, Lakdikapul, Raj Bhavan Road, Somajiguda, Somajiguda, Hyderabad, Andhra Pradesh 500082",2016/06/13 16:49:10.987,2016/10/26,0
H-100044,SIMHAPURI ENERGY LIMITED,Krishnaiah Nama,Power,"6-3-866/2, Above Canara Bank Floor-3 Greenlands, Begumpet, Begumpet, Hyderabad, Telangana 500016",2016/06/13 16:49:11,2016/10/19,3050.68
K-100015,Birla Corporation Ltd,Harsh Vardhan Lodha,Mfg of Cement,KOLKATA,2016/06/13 12:33:17.163,2016/08/22,35.4
K-100016,Coal India,GoI,Mining - Coal,KOLKATA,2016/06/13 12:27:59.063,2016/08/11,55.72
K-100030,LA OPALA RG LIMITED,Sushil Jhunjhunwala,MFG. OF GLASS AND GLASS PRODUCTS,"230A, AJC Bose Road, Chitrakoot Building, 10th Floor, Kolkata",2016/06/17 09:01:54.913,2016/10/03,119.83
K-100201,Himadri Chemicals & Industries,Anurag Choudhary,MFG OF COKE OR COKE OVEN PRODUCTS,Kolkata,2016/07/13 12:23:46.753,2016/11/02,1449.95
